Date,Temp.F,Dew_Point.F,Humidity.percentage,Sea_Level_Press.in,Visibility.mi,Wind.mph,Precip.in,Events
1/4/2015,16,4,63,30.43,8,12,0,Snow
1/6/2015,24,11,61,30.51,9,11,0,Snow
1/7/2015,12,-2,55,30.9,10,12,0,Snow
1/8/2015,18,5,53,30.34,10,12,0,Snow
1/9/2015,16,1,48,30.58,10,12,0,Snow
1/11/2015,34,24,67,30.21,10,7,0,Rain
1/12/2015,24,14,64,30.53,9,10,0,Snow
1/17/2015,49,27,45,29.88,10,12,0,Rain
1/24/2015,46,29,56,29.86,10,7,0.01,Rain
1/25/2015,40,34,77,29.87,10,12,0,Rain
1/29/2015,41,28,61,30.3,10,13,0,Rain
2/4/2015,24,17,73,30.33,8,9,0.01,Snow
2/12/2015,22,4,48,30.55,10,12,0,Snow
2/14/2015,28,14,53,30.28,10,9,0,Snow
2/15/2015,16,4,62,30.36,7,13,0.06,Snow
2/16/2015,19,10,71,30.22,8,7,0,Snow
2/17/2015,26,17,68,30.11,9,6,0,Snow
2/18/2015,16,0,50,30.34,10,9,0,Snow
2/19/2015,13,7,71,30.39,7,5,0.01,Snow
2/20/2015,26,24,78,29.95,7,5,0,Rain
2/21/2015,38,30,75,30.04,7,6,0.04,Rain
2/24/2015,32,15,51,30.07,10,10,0,Snow
2/28/2015,21,16,76,30.47,4,6,0.01,Snow
3/1/2015,29,21,73,30.42,9,2,0,Snow
3/4/2015,26,6,46,30.31,10,12,0,Snow
3/16/2015,70,42,41,29.98,10,12,0,Rain
3/17/2015,52,28,44,30.25,10,14,0,Rain
3/18/2015,42,31,72,30.16,7,12,0.08,Rain
3/19/2015,40,37,89,30.11,8,6,0.02,Rain
3/23/2015,50,36,52,30.06,10,10,0,Rain
3/24/2015,46,41,82,29.9,8,12,0.15,Rain_Thunderstorm
3/25/2015,49,41,80,30.03,8,7,0.11,Rain
3/26/2015,44,29,57,30.15,10,8,0.01,Rain
3/29/2015,54,36,58,30.03,10,9,0,Rain
4/1/2015,68,47,52,29.79,10,11,0,Rain
4/2/2015,64,53,72,29.75,8,12,0.74,Rain_Thunderstorm
4/5/2015,56,37,56,29.98,10,12,0,Rain
4/8/2015,66,57,80,29.77,7,7,0,Rain_Thunderstorm
4/9/2015,60,51,68,29.71,10,16,0,Rain_Thunderstorm
4/12/2015,62,52,70,29.89,9,11,0.27,Rain_Thunderstorm
4/13/2015,62,44,59,30.06,8,10,0.82,Rain_Thunderstorm
4/14/2015,60,34,38,30.17,10,7,0,Rain
4/15/2015,56,46,66,30.02,10,10,0,Rain
4/18/2015,63,58,82,29.89,9,6,0.5,Rain_Thunderstorm
4/20/2015,53,30,44,29.81,10,12,0,Rain
4/21/2015,58,32,39,29.83,10,8,0,Rain
4/24/2015,60,46,60,29.75,10,9,0.02,Rain
4/25/2015,58,54,84,29.52,9,11,0.28,Rain_Thunderstorm
4/26/2015,56,43,70,29.92,9,11,0,Rain
5/2/2015,67,49,52,29.97,10,8,0,Rain
5/3/2015,74,55,52,29.84,10,14,0,Rain
5/4/2015,74,60,72,30.02,9,7,0.46,Rain_Thunderstorm
5/5/2015,72,60,71,30.04,9,7,0,Rain_Thunderstorm
5/6/2015,70,58,66,29.91,10,12,0.02,Rain_Thunderstorm
5/9/2015,68,61,78,29.93,10,8,0.07,Rain_Thunderstorm
5/10/2015,70,62,79,29.83,8,9,0.65,Rain_Thunderstorm
5/11/2015,54,39,54,30.02,10,10,0,Rain
5/13/2015,60,45,51,30.22,10,8,0,Rain
5/14/2015,66,59,82,29.98,8,10,0.16,Rain
5/16/2015,73,64,79,29.79,8,9,2.27,Rain_Thunderstorm
5/17/2015,72,59,73,29.79,9,11,0.65,Rain_Thunderstorm
5/19/2015,53,42,63,30.24,10,10,0,Rain
5/20/2015,52,47,84,30.12,7,11,0.87,Rain
5/21/2015,58,45,70,30.24,10,5,0,Rain
5/23/2015,63,57,77,30.11,8,7,0.75,Rain_Thunderstorm
5/24/2015,67,62,85,29.87,8,8,0.79,Rain
5/25/2015,72,61,74,29.85,10,8,0.07,Rain_Thunderstorm
5/26/2015,71,59,74,29.83,9,8,0.25,Rain_Thunderstorm
5/29/2015,68,63,84,29.95,9,6,0.06,Rain_Thunderstorm
5/30/2015,62,56,83,30.05,10,7,0.02,Rain
6/4/2015,73,63,78,29.99,10,6,0.05,Rain_Thunderstorm
6/5/2015,74,63,71,30.04,9,8,0.08,Rain_Thunderstorm
6/6/2015,78,66,74,29.99,10,5,0.01,Rain_Thunderstorm
6/7/2015,82,67,62,29.78,9,12,0.33,Rain_Thunderstorm
6/9/2015,80,62,55,29.83,10,5,0,Rain
6/11/2015,84,69,62,29.69,10,11,0,Rain
6/13/2015,75,68,84,29.86,10,4,0,Rain
6/14/2015,78,72,83,29.88,9,6,0.51,Rain_Thunderstorm
6/15/2015,78,72,86,29.93,9,8,0.39,Rain_Thunderstorm
6/20/2015,84,71,66,29.79,10,12,0,Rain
6/21/2015,80,72,76,29.89,10,8,0.05,Rain_Thunderstorm
6/22/2015,84,72,68,29.82,10,15,0,Rain
6/25/2015,88,70,61,29.89,10,13,0,Rain_Thunderstorm
6/29/2015,78,64,62,29.88,10,5,0,Rain
7/1/2015,78,71,83,29.83,8,12,1,Rain_Thunderstorm
7/4/2015,73,62,66,29.96,9,3,0,Rain
7/7/2015,68,62,83,30.01,4,10,0.45,Rain
7/8/2015,64,62,90,29.95,6,8,0,Rain
7/9/2015,70,61,75,30.02,10,3,0,Rain
7/10/2015,72,68,87,30.04,9,4,0.22,Rain_Thunderstorm
7/15/2015,83,72,73,29.87,10,9,0,Rain_Thunderstorm
7/18/2015,84,75,76,29.85,9,8,0.16,Rain_Thunderstorm
7/19/2015,80,74,78,29.89,10,8,0,Rain_Thunderstorm
7/20/2015,80,72,85,29.88,8,8,1.51,Rain_Thunderstorm
7/24/2015,86,76,74,29.89,10,5,0,Rain
7/26/2015,85,74,74,29.86,10,5,0,Rain_Thunderstorm
7/29/2015,80,70,78,30.08,10,8,0.26,Rain_Thunderstorm
8/4/2015,79,69,79,29.95,9,7,0.1,Rain_Thunderstorm
8/5/2015,74,68,82,29.94,10,7,0.07,Rain
8/8/2015,83,73,75,29.86,10,8,0.07,Rain_Thunderstorm
8/9/2015,86,77,78,29.83,10,8,0.02,Rain
8/10/2015,83,75,81,29.93,9,5,0.14,Rain_Thunderstorm
8/23/2015,71,56,59,30.03,10,9,0,Rain_Thunderstorm
8/27/2015,70,62,76,30.06,10,7,0.06,Rain_Thunderstorm
8/28/2015,76,66,77,29.92,9,11,0.05,Rain_Thunderstorm
9/2/2015,82,68,65,29.96,10,9,0,Rain
9/7/2015,78,71,85,29.95,7,10,0.06,Rain_Thunderstorm
9/8/2015,76,71,82,29.87,10,5,0.03,Rain_Thunderstorm
9/18/2015,72,67,82,29.82,9,9,0.13,Rain_Thunderstorm
10/6/2015,64,57,81,30.16,10,1,0,Rain
10/9/2015,59,49,72,30.23,10,6,0.02,Rain
10/22/2015,69,57,68,30.11,10,6,0,Rain
10/23/2015,68,62,82,29.88,9,11,0.18,Rain
10/27/2015,55,52,91,29.85,5,6,0.05,Rain
10/28/2015,56,44,72,29.74,10,9,0,Rain
10/30/2015,44,41,83,29.96,8,4,0.2,Rain
10/31/2015,50,48,90,29.79,7,4,0.17,Rain
11/5/2015,62,57,77,29.85,10,12,0.03,Rain
11/16/2015,56,51,86,29.81,9,13,0.18,Rain_Thunderstorm
11/17/2015,58,58,90,29.48,8,14,1.47,Rain_Thunderstorm
11/18/2015,50,41,74,29.47,10,14,0.02,Rain
11/20/2015,44,29,55,30.04,10,6,0,Rain
11/21/2015,34,23,63,30.27,10,13,0,Rain
11/26/2015,50,44,88,30.14,6,12,2,Rain_Thunderstorm
11/28/2015,34,30,89,30.38,9,10,0.01,Rain
11/29/2015,36,34,92,30.24,6,9,0.36,Rain
11/30/2015,38,36,92,29.98,6,6,0.21,Rain
12/12/2015,54,47,84,29.79,8,2,0,Rain
12/13/2015,56,57,91,29.46,7,9,1.19,Rain
12/14/2015,44,39,84,29.46,10,9,0.02,Rain
12/20/2015,52,42,63,29.87,10,18,0,Rain
12/21/2015,46,40,86,29.79,9,10,0.04,Rain_Thunderstorm
12/23/2015,50,41,73,29.33,10,12,0.01,Rain
12/26/2015,42,38,82,30,9,10,0.69,Rain
12/27/2015,34,29,80,30.26,9,16,0.03,Rain
1/7/2016,42,40,95,29.84,4,4,0.15,Rain
1/8/2016,40,38,90,29.77,9,6,0.05,Rain
1/9/2016,22,15,71,30.09,10,13,0,Snow
1/17/2016,12,0,66,30.32,8,12,0.01,Snow
1/21/2016,26,20,80,30.23,6,9,0,Snow
2/1/2016,46,32,63,29.94,10,5,0.03,Rain
2/2/2016,47,36,74,29.47,8,18,0.36,Rain_Thunderstorm
2/3/2016,30,21,66,30.05,10,14,0,Snow
2/8/2016,32,18,56,30.06,10,18,0,Snow
2/16/2016,40,33,69,29.89,10,11,0,Rain
2/25/2016,38,26,65,30.24,10,9,0,Snow
3/8/2016,63,56,80,29.76,8,8,0.21,Rain_Thunderstorm
3/11/2016,56,41,58,30.21,10,4,0,Rain
3/12/2016,54,52,91,29.96,5,5,0.17,Rain
3/15/2016,60,47,67,29.61,10,10,0.03,Rain_Thunderstorm
3/18/2016,46,25,47,30.15,10,10,0,Rain
3/20/2016,42,29,67,30.32,9,9,0,Snow
3/23/2016,69,52,58,29.46,10,17,0.06,Rain_Thunderstorm
3/24/2016,48,35,75,29.75,9,14,0,Rain
3/26/2016,52,41,69,29.97,10,7,0.04,Rain
3/31/2016,55,46,68,29.56,10,10,0,Rain
4/1/2016,46,32,60,29.96,10,11,0,Rain
4/6/2016,60,41,56,29.8,10,11,0.03,Rain
4/10/2016,64,50,65,29.71,10,16,0.02,Rain_Thunderstorm
4/17/2016,67,54,60,30.16,10,9,0,Rain
4/18/2016,64,60,85,30.15,9,7,0.17,Rain
4/19/2016,64,54,74,30.14,10,6,0.01,Rain
4/20/2016,63,53,75,29.89,9,8,0.11,Rain
4/24/2016,72,52,52,29.75,10,13,0.01,Rain_Thunderstorm
4/25/2016,70,61,74,29.68,10,10,0.14,Rain_Thunderstorm
4/27/2016,64,55,75,29.56,8,9,0.57,Rain_Thunderstorm
4/29/2016,52,47,80,29.95,9,10,0.14,Rain
4/30/2016,61,55,79,29.68,8,8,0.18,Rain_Thunderstorm
5/8/2016,67,60,81,29.77,6,8,0.62,Rain_Thunderstorm
5/9/2016,66,60,79,29.65,10,9,0.23,Rain_Thunderstorm
5/11/2016,70,60,75,29.92,9,9,0.77,Rain_Thunderstorm
5/13/2016,65,50,63,30.04,10,8,0.06,Rain_Thunderstorm
5/15/2016,55,38,54,30.19,10,4,0.03,Rain
5/16/2016,54,50,88,30.08,8,7,0.71,Rain
5/17/2016,56,48,81,30.17,9,11,0.19,Rain
5/19/2016,59,46,65,30.11,10,3,0.09,Rain
5/20/2016,62,52,73,30.06,10,5,0.01,Rain
5/21/2016,63,49,61,30.13,10,4,0.01,Rain
5/24/2016,72,63,80,29.9,9,7,0.12,Rain_Thunderstorm
5/25/2016,75,63,66,29.85,10,9,0.05,Rain
5/31/2016,72,63,74,29.91,10,4,0.03,Rain
6/4/2016,74,60,67,29.9,9,8,0.24,Rain_Thunderstorm
6/12/2016,83,68,62,30.01,9,7,0.24,Rain_Thunderstorm
6/13/2016,80,70,74,29.9,9,5,0.18,Rain
6/21/2016,86,70,60,29.98,10,9,0,Rain
6/28/2016,77,65,68,30.12,10,6,0.19,Rain_Thunderstorm
6/30/2016,80,67,64,29.91,10,5,0.01,Rain_Thunderstorm
7/2/2016,70,64,87,29.98,8,8,1.61,Rain_Thunderstorm
7/3/2016,68,64,90,29.9,8,9,1.19,Rain_Thunderstorm
7/4/2016,75,66,79,29.87,8,5,0,Rain
7/6/2016,82,72,69,29.77,9,10,0.1,Rain_Thunderstorm
7/7/2016,80,69,76,29.8,9,9,0.65,Rain_Thunderstorm
7/9/2016,82,72,72,29.98,10,6,0.14,Rain_Thunderstorm
7/12/2016,77,67,76,29.87,9,14,0.75,Rain_Thunderstorm
7/13/2016,79,71,79,29.86,9,8,0.5,Rain_Thunderstorm
7/25/2016,82,69,70,30,9,8,0.28,Rain_Thunderstorm
7/31/2016,77,70,79,29.94,9,7,0.08,Rain_Thunderstorm
8/1/2016,79,69,77,29.98,10,10,0.09,Rain_Thunderstorm
8/2/2016,83,73,78,29.98,10,7,0.02,Rain_Thunderstorm
8/7/2016,74,64,74,29.99,10,8,0.06,Rain
8/12/2016,81,72,81,29.83,9,6,0.41,Rain_Thunderstorm
8/19/2016,80,69,75,29.84,9,9,0.54,Rain_Thunderstorm
8/24/2016,78,71,83,29.97,8,9,1.23,Rain_Thunderstorm
8/25/2016,78,70,83,30.04,9,4,0.36,Rain_Thunderstorm
8/27/2016,79,69,76,29.99,10,5,0.17,Rain_Thunderstorm
8/28/2016,82,70,75,30.08,9,5,0.85,Rain_Thunderstorm
8/30/2016,80,70,78,30.11,10,5,0.13,Rain_Thunderstorm
8/31/2016,76,69,80,30.09,10,5,0.14,Rain
9/8/2016,80,73,83,29.9,9,8,0.75,Rain_Thunderstorm
9/9/2016,76,70,84,29.87,9,6,0.59,Rain_Thunderstorm
9/10/2016,68,56,68,30.09,10,8,0.24,Rain_Thunderstorm
9/13/2016,76,65,74,30.06,10,7,0.12,Rain_Thunderstorm
9/14/2016,72,65,85,30.17,8,7,0.76,Rain_Thunderstorm
9/16/2016,70,65,85,29.96,10,5,0.28,Rain_Thunderstorm
9/25/2016,67,62,82,30.08,9,6,0.29,Rain
10/4/2016,72,58,64,29.76,9,9,0.19,Rain_Thunderstorm
10/5/2016,70,62,77,29.85,10,8,0.18,Rain_Thunderstorm
10/6/2016,68,63,82,29.91,9,8,0.88,Rain_Thunderstorm
10/7/2016,56,44,76,30.22,8,10,0.01,Rain
10/10/2016,65,50,61,30.17,10,5,0.04,Rain
10/12/2016,58,47,77,30.12,10,8,0.2,Rain_Thunderstorm
10/20/2016,54,41,61,30.26,10,8,0.04,Rain
10/26/2016,65,59,77,30.04,10,9,0.21,Rain_Thunderstorm
11/2/2016,72,65,81,30.05,10,8,0.4,Rain_Thunderstorm
11/7/2016,58,50,76,30.19,10,3,0.05,Rain
11/22/2016,55,45,70,29.85,10,9,0.01,Rain
11/23/2016,50,43,84,29.99,10,10,0.03,Rain
11/27/2016,51,48,84,29.7,10,12,0.09,Rain_Thunderstorm
12/3/2016,40,31,68,30.23,10,4,0,Rain
12/4/2016,40,38,88,30.03,8,7,0.22,Rain
12/7/2016,28,18,67,30.33,6,7,0,Snow
12/17/2016,20,12,80,29.98,4,12,0.01,Snow
12/23/2016,44,33,71,30.02,10,7,0.03,Rain
